,property_name,host_name,property_type,room_type,bed_type,minimum_nights,maximum_nights,cancellation_policy,accommodates,bedrooms,beds,number_of_reviews,bathrooms,price,cleaning_fee,extra_people,guests_included,country,lat,long,availability_365,review_rating
3960,Comfy private room in Causeway Bay #1 銅鑼灣時代廣場後面大房,Yuki,Apartment,Private room,Real Bed,2,1125,strict_14_with_grace_period,2,1.0,1.0,0,1.0,502.0,160.0,0.0,1,Hong Kong,114.1815,22.2803,0,93.09924038225925
3961,Luxury 2 bed 2 bath 1 parking in Allure Waikiki,Jane,Condominium,Entire home/apt,Real Bed,30,1125,strict_14_with_grace_period,4,2.0,2.0,0,2.0,160.0,350.0,10.0,3,United States,-157.83375,21.28704,33,93.09924038225925
3962,Venha aproveitar a beleza das praia do Rio,Philippe,Apartment,Entire home/apt,Real Bed,1,1125,flexible,4,1.0,1.0,0,1.0,119.0,94.07480119284294,0.0,1,Brazil,-43.47282451720555,-23.02797981428597,179,93.09924038225925
3963,İnfinity 1+1 Room İn Taksim İstanbul,Nizamittin,Apartment,Entire home/apt,Real Bed,2,30,flexible,3,1.0,1.0,0,1.0,369.0,94.07480119284294,0.0,1,Turkey,28.98178,41.03749,151,93.09924038225925
3964,"HongKong,Central Bright Double Room",Frederic,Apartment,Entire home/apt,Real Bed,30,30,moderate,2,1.0,1.0,20,1.0,1060.0,94.07480119284294,0.0,1,Hong Kong,114.15448,22.28222,70,98.0
3965,Not a big room in Barcelona,Tusia & Alex,Apartment,Private room,Real Bed,3,1125,flexible,2,1.0,1.0,0,1.5,35.0,0.0,100.0,2,Spain,2.18388,41.41132,83,93.09924038225925
3966,Renovated sunny 3 Bedroom apartment - easy parking,Philippe,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,6,3.0,3.0,4,1.0,119.0,75.0,20.0,6,Canada,-73.59754,45.53963,274,100.0
3967,5 PEOPLE ROOM ( 1 TRIP and 1 DOUBLE),Jacky,Bed and breakfast,Private room,Real Bed,1,21,strict_14_with_grace_period,5,2.0,3.0,0,2.0,10001.0,94.07480119284294,0.0,1,Hong Kong,114.17113,22.29715,358,93.09924038225925
3968,Espaciosa habitación / spacious room,Malena,Apartment,Private room,Real Bed,4,1125,flexible,2,1.0,1.0,0,1.0,30.0,94.07480119284294,0.0,1,Spain,2.15179,41.38118,0,93.09924038225925
3969,Göl kenarında müstakil ev konforu,Muhammet,House,Private room,Real Bed,1,1125,flexible,2,1.0,1.0,0,1.0,74.0,94.07480119284294,0.0,1,Turkey,28.74155,40.98273,364,93.09924038225925
3970,Price cheap Economy Studio in Tsim Sha Tsui MTR,Jack,Apartment,Private room,Real Bed,1,1124,strict_14_with_grace_period,2,1.0,1.0,6,1.0,267.0,50.0,530.0,2,Hong Kong,114.17318,22.2978,8,90.0
3971,Triple Room with shared bathroom,Rameez,Hostel,Private room,Real Bed,1,1125,moderate,3,1.0,3.0,1,2.0,40.0,94.07480119284294,0.0,1,Spain,2.13286,41.36674,22,80.0
3972,Gorgeous flat 4bed 5min to tube in lovely Eixample,Esther,Apartment,Entire home/apt,Real Bed,2,1125,moderate,6,4.0,4.0,6,1.5,115.0,90.0,0.0,6,Spain,2.15624,41.38629,353,93.0
3973,有窗大床房,Lulu,House,Private room,Real Bed,1,1125,strict_14_with_grace_period,2,1.0,1.0,3,1.0,550.0,94.07480119284294,0.0,1,Hong Kong,114.18394,22.2804,72,100.0
3974,Apartamento com mezanino próximo ao Coliseu,João,Apartment,Entire home/apt,Real Bed,2,1125,strict_14_with_grace_period,4,0.0,2.0,0,1.0,80.0,0.0,15.0,2,Portugal,-8.60577,41.14646,348,93.09924038225925
3975,City Centre Álvares Cabral - Up2Sleep,Joana,Apartment,Entire home/apt,Real Bed,1,1125,moderate,4,1.0,2.0,0,1.0,35.0,20.0,0.0,1,Portugal,-8.6182,41.1546,320,93.09924038225925
3976,Penthouse Downtown with private indoor parking,Alex,Apartment,Entire home/apt,Real Bed,1,1125,strict_14_with_grace_period,6,2.0,2.0,9,2.0,127.0,40.0,30.0,2,Canada,-73.56911,45.51214,6,100.0
3977,Whole apartment (City Center of Barcelona),Enrique/Mathi,Apartment,Entire home/apt,Real Bed,1,32,moderate,5,2.0,4.0,1,1.0,220.0,94.07480119284294,0.0,1,Spain,2.15288,41.37961,228,80.0
